player,market,line,side,dfs_book,fair_prob,edge,fair_american,num_books,matchup,commence_time,snapshot_at
Dennis Schroder,player_points,6.5,Over,pick6,0.5110912425002955,0.011091242500295473,-105,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Dean Wade,player_points,3.5,Under,prizepicks,0.5097578027614494,0.009757802761449441,-104,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Dean Wade,player_points,3.5,Under,betr_us_dfs,0.5097578027614494,0.009757802761449441,-104,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Dean Wade,player_points,3.5,Under,pick6,0.5097578027614494,0.009757802761449441,-104,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Donovan Mitchell,player_points,26.5,Over,prizepicks,0.5079670160806063,0.007967016080606348,-103,3,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Donovan Mitchell,player_points,26.5,Over,underdog,0.5079670160806063,0.007967016080606348,-103,3,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Donovan Mitchell,player_points,26.5,Over,betr_us_dfs,0.5079670160806063,0.007967016080606348,-103,3,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
James Harden,player_points,18.5,Under,prizepicks,0.5056880490935991,0.005688049093599101,-102,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
James Harden,player_points,18.5,Under,underdog,0.5056880490935991,0.005688049093599101,-102,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
James Harden,player_points,18.5,Under,betr_us_dfs,0.5056880490935991,0.005688049093599101,-102,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
James Harden,player_points,18.5,Under,pick6,0.5056880490935991,0.005688049093599101,-102,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
