player,market,line,side,dfs_book,fair_prob,edge,fair_american,num_books,matchup,commence_time,snapshot_at
Jaden McDaniels,player_points,15.5,Over,betr_us_dfs,0.5264491347897974,0.02644913478979738,-111,4,San Antonio Spurs @ Minnesota Timberwolves,2026-05-10 23:40:00+00:00,2026-05-10 23:01:10.331775+00:00
Jaden McDaniels,player_points,15.5,Over,prizepicks,0.5264491347897974,0.02644913478979738,-111,4,San Antonio Spurs @ Minnesota Timberwolves,2026-05-10 23:40:00+00:00,2026-05-10 23:01:10.331775+00:00
Stephon Castle,player_points,16.5,Over,betr_us_dfs,0.5165876376368713,0.016587637636871322,-107,4,San Antonio Spurs @ Minnesota Timberwolves,2026-05-10 23:40:00+00:00,2026-05-10 23:01:10.331775+00:00
Stephon Castle,player_points,16.5,Over,prizepicks,0.5165876376368713,0.016587637636871322,-107,4,San Antonio Spurs @ Minnesota Timberwolves,2026-05-10 23:40:00+00:00,2026-05-10 23:01:10.331775+00:00
Julian Champagnie,player_points,8.5,Under,betr_us_dfs,0.515316627545966,0.015316627545965966,-106,5,San Antonio Spurs @ Minnesota Timberwolves,2026-05-10 23:40:00+00:00,2026-05-10 23:01:10.331775+00:00
Julian Champagnie,player_points,8.5,Under,prizepicks,0.515316627545966,0.015316627545965966,-106,5,San Antonio Spurs @ Minnesota Timberwolves,2026-05-10 23:40:00+00:00,2026-05-10 23:01:10.331775+00:00
Julian Champagnie,player_points,8.5,Under,underdog,0.515316627545966,0.015316627545965966,-106,5,San Antonio Spurs @ Minnesota Timberwolves,2026-05-10 23:40:00+00:00,2026-05-10 23:01:10.331775+00:00
Julian Champagnie,player_points,8.5,Under,pick6,0.515316627545966,0.015316627545965966,-106,5,San Antonio Spurs @ Minnesota Timberwolves,2026-05-10 23:40:00+00:00,2026-05-10 23:01:10.331775+00:00
Keldon Johnson,player_points,8.5,Over,betr_us_dfs,0.51530817635741,0.015308176357409997,-106,4,San Antonio Spurs @ Minnesota Timberwolves,2026-05-10 23:40:00+00:00,2026-05-10 23:01:10.331775+00:00
Jaden McDaniels,player_points,16.5,Under,pick6,0.5141093474426808,0.014109347442680775,-106,2,San Antonio Spurs @ Minnesota Timberwolves,2026-05-10 23:40:00+00:00,2026-05-10 23:01:10.331775+00:00
