player,market,line,side,dfs_book,fair_prob,edge,fair_american,num_books,matchup,commence_time,snapshot_at
Daniss Jenkins,player_points,9.5,Under,betr_us_dfs,0.5377907854288291,0.03779078542882908,-116,3,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 19:47:40.409413+00:00
Evan Mobley,player_points,15.5,Under,pick6,0.5305039787798408,0.03050397877984079,-113,1,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 19:47:40.409413+00:00
Ausar Thompson,player_points,9.5,Under,betr_us_dfs,0.5252444107616521,0.02524441076165207,-111,3,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 19:47:40.409413+00:00
Isaiah Stewart II,player_points,3.5,Under,prizepicks,0.5251989389920424,0.025198938992042397,-111,1,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 19:47:40.409413+00:00
Isaiah Stewart II,player_points,3.5,Under,betr_us_dfs,0.5251989389920424,0.025198938992042397,-111,1,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 19:47:40.409413+00:00
Dennis Schroder,player_points,6.5,Over,prizepicks,0.5244318206294972,0.024431820629497225,-110,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 19:47:40.409413+00:00
Dennis Schroder,player_points,6.5,Over,underdog,0.5244318206294972,0.024431820629497225,-110,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 19:47:40.409413+00:00
Dennis Schroder,player_points,6.5,Over,betr_us_dfs,0.5244318206294972,0.024431820629497225,-110,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 19:47:40.409413+00:00
Duncan Robinson,player_points,11.5,Over,prizepicks,0.5221515707364685,0.02215157073646845,-109,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 19:47:40.409413+00:00
Duncan Robinson,player_points,11.5,Over,underdog,0.5221515707364685,0.02215157073646845,-109,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 19:47:40.409413+00:00
Duncan Robinson,player_points,11.5,Over,betr_us_dfs,0.5221515707364685,0.02215157073646845,-109,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 19:47:40.409413+00:00
Duncan Robinson,player_points,11.5,Over,pick6,0.5221515707364685,0.02215157073646845,-109,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 19:47:40.409413+00:00
